"host_genus_species","inv_in","impact","initial_dist","latest_dist","ref","env"
"Astacus_astacus","EU","High","","","521, ","Freshwater"
"Callinectes_danae","Mediterranean; EU","Low/Unk","2002; "," ","527, 521, "," Marine"
"Callinectes_sapidus","Mediterranean; EU","High","2002; ","2008; ","527, 522, 521, "," Freshwater;  Marine and Oligohaline"
"Cancer_irroratus","EU","Low/Unk","","","521, ","Marine"
"Carcinus_maenas"," Asia; North America;  Australia; South America; Global","High"," "," ","611, 611, "," Marine"
"Charybdis_feriata","Mediterranean; EU","Low/Unk","2006; "," ","527, 521, "," Marine"
"Charybdis_hellerii","Mediterranean; Global","High"," "," ","611, 611, 521, "," Marine"
"Charybdis_japonica"," Global","High"," "," ","611, 611, 521, "," Marine"
"Cherax_destructor","EU","High","","","521, ","Freshwater"
"Chionoecetes_opilio","EU","High","","","522, 521, ","Marine"
"Eriocheir_sinensis","Western Pacific; Mediterranean; Europe;  North America; Global","High","2002; ; ","2006; ; ","527, 611, 611, 522, 521"," ; Freshwater"
"Exopalaemon_modestus","North America","Low/Unk","","","686, ","Freshwater"
"Homarus_americanus","EU","High","","","522, 521, ","Marine"
"Jasus_lalandii","EU","Low/Unk","","","522, ","Marine"
"Macrobrachium_nipponense","Asia;  Middle East","Low/Unk","","","689, ","Freshwater;  Brackish"
"Metapenaeus_affinis","EU","Low/Unk","","","521, ","Marine"
"Metapenaeus_monoceros","Mediterranean; EU","High","2002; ","2003; ","527, 521, "," Marine"
"Metapenaeus_stebbingi","Mediterranean; EU","High","2002; ","2008; ","527, 521, "," Marine"
"Necora_puber","EU","Low/Unk","","","521, ","Marine"
"Orconectes_immunis","EU","Low/Unk","","","521, ","Freshwater"
"Orconectes_limosus","EU","High","","","522, 521, ","Freshwater"
"Orconectes_rusticus","North America; Global","Low/Unk"," "," ","611, 611, 521, "," Freshwater"
"Orconectes_virilis","North America;  Europe; Global","High"," "," ","611, 611, 522, 521"," Freshwater"
"Pacifastacus_leniusculus","Europe; Asia; Global","High"," "," ","611, 611, 521, "," Freshwater"
"Palaemon_macrodactylus","EU","High","","","522, 521, ","Marine and Oligohaline"
"Paralithodes_camtschaticus","EU","High","","","522, 521, ","Marine"
"Penaeus_aztecus","EU","Low/Unk","","","521, ","Marine"
"Penaeus_japonicus","EU","High","","","521, ","Marine"
"Penaeus_merguiensis","EU","Low/Unk","","","521, ","Marine"
"Penaeus_semisulcatus","Mediterranean; EU","High","2002; "," ","527, 521, "," Marine"
"Penaeus_subtilis","EU","Low/Unk","","","521, ","Marine"
"Portunus_pelagicus","Mediterranean","High","2002","2008","527, ",""
"Procambarus_clarkii","Europe;  Asia; Africa; South America; Global","High"," "," ","611, 611, 521, "," Freshwater"
"Procambarus_fallax","EU","Low/Unk","","","522, ","Freshwater"
"Crangon_crangon","Iceland","Low/Unk","Atlantic",NA,"522",NA
"Penaeus_stylirostris","China","Low/Unk","","","522",""
"Penaeus_vannamei","China","Low/Unk","","","522",""
"Palaemon_adspersus","Canada; Russia","Low/Unk","","","522",""
